date,yf_open,yf_close,poly_open,poly_close,open_yf_vs_poly,close_yf_vs_poly
2025-03-31,543.5984615291653,553.0501098632812,549.83,559.39,-6.2315,-6.3399
2025-04-01,551.1320571376683,554.6121215820312,557.45,560.97,-6.3179,-6.3579
2025-04-02,548.7592465118332,558.1219482421875,555.05,564.52,-6.2908,-6.3981
2025-04-03,538.931968079745,530.6173095703125,545.11,536.7,-6.178,-6.0827
2025-04-04,517.7349036725598,499.5533447265625,523.67,505.28,-5.9351,-5.7267
2025-04-07,483.64569927250346,498.6635437011719,489.19,504.38,-5.5443,-5.7165
2025-04-08,515.9454474877983,490.8531188964844,521.86,496.48,-5.9146,-5.6269
2025-04-09,487.84755542038147,542.4021606445312,493.44,548.62,-5.5924,-6.2178
2025-04-10,526.1386497513512,518.6347045898438,532.17,524.58,-6.0314,-5.9453
2025-04-11,517.0824330937988,527.8885498046875,523.01,533.94,-5.9276,-6.0515
2025-04-14,537.8839447885014,533.0098266601562,544.05,539.12,-6.1661,-6.1102
2025-04-15,533.5534957548979,531.516845703125,539.675,537.61,-6.1215,-6.0932
2025-04-16,525.6541840661512,519.702392578125,531.68,525.66,-6.0258,-5.9576
2025-04-17,521.6599483491107,520.44384765625,527.64,526.41,-5.9801,-5.9662
2025-04-21,515.2533065114334,508.05584716796875,521.16,513.88,-5.9067,-5.8242
2025-04-22,514.2450097037921,521.2744140625,520.14,527.25,-5.895,-5.9756
2025-04-23,534.3049123051696,529.3516845703125,540.43,535.42,-6.1251,-6.0683
2025-04-24,530.6370434198044,540.4940795898438,536.715,546.69,-6.078,-6.1959
2025-04-25,540.4544620384363,544.3992309570312,546.65,550.64,-6.1955,-6.2408
2025-04-28,545.1407910444296,544.6068725585938,551.39,550.85,-6.2492,-6.2431
2025-04-29,542.6887574529197,548.0374755859375,548.91,554.32,-6.2212,-6.2825
2025-04-30,541.3640897959557,548.2550659179688,547.57,554.54,-6.2059,-6.2849
2025-05-01,554.0189932525213,552.1405029296875,560.37,558.47,-6.351,-6.3295
2025-05-02,558.3295262045715,560.3365478515625,564.73,566.76,-6.4005,-6.4235
2025-05-05,556.194064255589,557.1234130859375,562.57,563.51,-6.3759,-6.3866
2025-05-06,551.6066009560054,552.4667358398438,557.93,558.8,-6.3234,-6.3333
2025-05-07,553.8014947566288,554.7901611328125,560.15,561.15,-6.3485,-6.3598
2025-05-08,558.8337754612519,558.6558227539062,565.24,565.06,-6.4062,-6.4042
2025-05-09,560.0597310271954,557.9440307617188,566.48,564.34,-6.4203,-6.396
2025-05-12,574.8798371188,576.3826293945312,581.47,582.99,-6.5902,-6.6074
2025-05-13,576.7977862928067,580.18896484375,583.41,586.84,-6.6122,-6.651
2025-05-14,581.1479585868793,580.9304809570312,587.81,587.59,-6.662,-6.6595
2025-05-15,578.9234551699535,583.7679443359375,585.56,590.46,-6.6365,-6.6921
2025-05-16,584.5489982766968,587.465576171875,591.25,594.2,-6.701,-6.7344
2025-05-19,581.4346564328234,588.108154296875,588.1,594.85,-6.6653,-6.7418
2025-05-20,586.3681900028125,586.130859375,593.09,592.85,-6.7218,-6.7191
2025-05-21,581.7709264399082,576.254150390625,588.44,582.86,-6.6691,-6.6058
2025-05-22,576.0562657117097,576.4814453125,582.66,583.09,-6.6037,-6.6086
2025-05-23,569.4520392436427,572.5465698242188,575.98,579.11,-6.528,-6.5634
2025-05-27,579.4277528567243,584.4501953125,586.07,591.15,-6.6422,-6.6998
2025-05-28,584.8554566278126,581.06884765625,591.56,587.73,-6.7045,-6.6612
2025-05-29,586.3384441000501,583.362548828125,593.06,590.05,-6.7216,-6.6875
2025-05-30,582.2552747565533,582.7100830078125,588.93,589.39,-6.6747,-6.6799
2025-06-02,581.0985818518681,585.9924926757812,587.76,592.71,-6.6614,-6.7175
2025-06-03,585.6266685650614,589.3341674804688,592.34,596.09,-6.7133,-6.7558
2025-06-04,590.1942585782981,589.1759033203125,596.96,595.93,-6.7657,-6.7541
2025-06-05,590.8566609128592,586.3285522460938,597.63,593.05,-6.7733,-6.7214
2025-06-06,591.8749474768216,592.3495483398438,598.66,599.14,-6.7851,-6.7905
2025-06-09,592.9229477814916,592.8834228515625,599.72,599.68,-6.7971,-6.7966
2025-06-10,593.4173023897237,596.2449340820312,600.22,603.08,-6.8027,-6.8351
2025-06-11,597.3423765043648,594.54443359375,604.19,601.36,-6.8476,-6.8156
2025-06-12,593.2096852350186,596.9072875976562,600.01,603.75,-6.8003,-6.8427
2025-06-13,591.7168252456129,590.2338256835938,598.5,597.0,-6.7832,-6.7662
2025-06-16,593.5952983788304,595.8494262695312,600.4,602.68,-6.8047,-6.8306
