p_entry_type,p_rsi_thresh,p_tranche2_drop,p_target1,p_target2,p_stop_pct,p_entry_hour_cut,p_max_sessions,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,num_trades,win_rate_pct,avg_win_usd,avg_loss_usd,n_entries,pct_entered
vwap_reclaim,30,0.02,0.03,0.08,0.1,12,1,4.44,0.84,0.232,-5.27,130,62.31,48.81,-71.62,130,78.8
vwap_reclaim,30,0.02,0.03,0.08,0.1,12,2,15.15,2.76,0.462,-13.96,162,65.43,79.96,-124.3,162,98.2
vwap_reclaim,30,0.02,0.03,0.08,0.1,12,3,23.03,4.09,0.499,-17.52,165,64.85,109.92,-163.09,165,100.0
vwap_reclaim,30,0.02,0.03,0.08,0.1,14,1,5.8,1.1,0.292,-6.08,139,61.87,48.96,-68.49,139,84.2
vwap_reclaim,30,0.02,0.03,0.08,0.1,14,2,16.02,2.91,0.481,-14.0,164,65.85,79.85,-125.39,164,99.4
vwap_reclaim,30,0.02,0.03,0.08,0.1,14,3,26.65,4.67,0.562,-17.54,165,65.45,111.6,-164.7,165,100.0
vwap_reclaim,30,0.02,0.03,0.08,0.1,16,1,1.77,0.34,0.1,-10.18,146,60.27,48.09,-69.92,146,88.5
vwap_reclaim,30,0.02,0.03,0.08,0.1,16,2,15.13,2.76,0.433,-16.49,164,65.85,82.29,-131.68,164,99.4
vwap_reclaim,30,0.02,0.03,0.08,0.1,16,3,26.14,4.59,0.552,-17.67,165,66.06,110.29,-167.98,165,100.0
vwap_reclaim,30,0.02,0.03,0.08,0.12,12,1,4.44,0.84,0.232,-5.27,130,62.31,48.81,-71.62,130,78.8
vwap_reclaim,30,0.02,0.03,0.08,0.12,12,2,14.12,2.59,0.424,-14.85,162,65.43,79.96,-126.14,162,98.2
vwap_reclaim,30,0.02,0.03,0.08,0.12,12,3,21.1,3.77,0.444,-20.06,165,64.85,109.92,-166.4,165,100.0
vwap_reclaim,30,0.02,0.03,0.08,0.12,14,1,5.8,1.1,0.292,-6.08,139,61.87,48.96,-68.49,139,84.2
vwap_reclaim,30,0.02,0.03,0.08,0.12,14,2,14.98,2.73,0.443,-14.89,164,65.85,79.85,-127.24,164,99.4
vwap_reclaim,30,0.02,0.03,0.08,0.12,14,3,24.73,4.36,0.504,-20.09,165,65.45,111.6,-168.07,165,100.0
vwap_reclaim,30,0.02,0.03,0.08,0.12,16,1,1.77,0.34,0.1,-10.18,146,60.27,48.09,-69.92,146,88.5
vwap_reclaim,30,0.02,0.03,0.08,0.12,16,2,13.86,2.54,0.39,-17.59,164,65.85,82.29,-133.96,164,99.4
vwap_reclaim,30,0.02,0.03,0.08,0.12,16,3,23.05,4.09,0.462,-21.23,165,66.06,110.29,-173.51,165,100.0
vwap_reclaim,30,0.02,0.03,0.08,0.15,12,1,4.44,0.84,0.232,-5.27,130,62.31,48.81,-71.62,130,78.8
vwap_reclaim,30,0.02,0.03,0.08,0.15,12,2,18.9,3.4,0.601,-10.72,162,65.43,79.96,-117.61,162,98.2
vwap_reclaim,30,0.02,0.03,0.08,0.15,12,3,22.5,4.0,0.499,-18.92,165,64.85,109.92,-164.0,165,100.0
vwap_reclaim,30,0.02,0.03,0.08,0.15,14,1,5.8,1.1,0.292,-6.08,139,61.87,48.96,-68.49,139,84.2
vwap_reclaim,30,0.02,0.03,0.08,0.15,14,2,19.76,3.55,0.619,-10.75,164,65.85,79.85,-118.71,164,99.4
vwap_reclaim,30,0.02,0.03,0.08,0.15,14,3,26.13,4.59,0.563,-18.94,165,65.45,111.6,-165.62,165,100.0
vwap_reclaim,30,0.02,0.03,0.08,0.15,16,1,1.77,0.34,0.1,-10.18,146,60.27,48.09,-69.92,146,88.5
