p_entry_type,p_rsi_thresh,p_tranche2_drop,p_target1,p_target2,p_stop_pct,p_entry_hour_cut,p_max_sessions,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,num_trades,win_rate_pct,avg_win_usd,avg_loss_usd,n_entries,pct_entered
vwap_reclaim,30,0.02,0.03,0.08,0.1,12,1,-0.49,-0.1,0.019,-15.5,203,62.56,62.94,-105.82,203,82.5
vwap_reclaim,30,0.02,0.03,0.08,0.1,12,2,-6.25,-1.24,-0.034,-28.84,238,65.13,95.78,-186.39,238,96.7
vwap_reclaim,30,0.02,0.03,0.08,0.1,12,3,-9.74,-1.96,-0.025,-37.84,243,64.61,124.05,-237.79,243,98.8
vwap_reclaim,30,0.02,0.03,0.08,0.1,14,1,2.57,0.49,0.107,-14.5,214,63.08,62.61,-103.74,214,87.0
vwap_reclaim,30,0.02,0.03,0.08,0.1,14,2,-2.63,-0.51,0.022,-27.8,243,65.43,96.3,-185.42,243,98.8
vwap_reclaim,30,0.02,0.03,0.08,0.1,14,3,0.09,0.02,0.085,-33.28,246,66.26,123.79,-243.0,246,100.0
vwap_reclaim,30,0.02,0.03,0.08,0.1,16,1,1.9,0.36,0.088,-14.54,221,62.44,61.74,-100.36,221,89.8
vwap_reclaim,30,0.02,0.03,0.08,0.1,16,2,-2.72,-0.53,0.02,-27.31,244,65.16,97.49,-185.57,244,99.2
vwap_reclaim,30,0.02,0.03,0.08,0.1,16,3,1.98,0.38,0.106,-33.23,246,66.67,124.95,-247.48,246,100.0
vwap_reclaim,30,0.02,0.03,0.08,0.12,12,1,-1.18,-0.23,0.0,-15.5,203,62.56,62.94,-106.73,203,82.5
vwap_reclaim,30,0.02,0.03,0.08,0.12,12,2,-4.45,-0.88,-0.008,-28.39,238,65.13,95.78,-184.23,238,96.7
vwap_reclaim,30,0.02,0.03,0.08,0.12,12,3,-6.29,-1.25,0.011,-40.67,243,64.61,124.05,-233.78,243,98.8
vwap_reclaim,30,0.02,0.03,0.08,0.12,14,1,1.88,0.36,0.087,-14.5,214,63.08,62.61,-104.61,214,87.0
vwap_reclaim,30,0.02,0.03,0.08,0.12,14,2,-1.45,-0.28,0.04,-28.08,243,65.43,96.3,-184.01,243,98.8
vwap_reclaim,30,0.02,0.03,0.08,0.12,14,3,5.46,1.03,0.146,-34.6,246,66.26,123.79,-236.52,246,100.0
vwap_reclaim,30,0.02,0.03,0.08,0.12,16,1,1.21,0.23,0.069,-14.54,221,62.44,61.74,-101.19,221,89.8
vwap_reclaim,30,0.02,0.03,0.08,0.12,16,2,-1.54,-0.3,0.038,-27.58,244,65.16,97.49,-184.18,244,99.2
vwap_reclaim,30,0.02,0.03,0.08,0.12,16,3,7.36,1.38,0.167,-34.25,246,66.67,124.95,-240.92,246,100.0
vwap_reclaim,30,0.02,0.03,0.08,0.15,12,1,-1.18,-0.23,0.0,-15.5,203,62.56,62.94,-106.73,203,82.5
vwap_reclaim,30,0.02,0.03,0.08,0.15,12,2,-5.15,-1.02,-0.016,-30.38,238,65.13,95.78,-185.07,238,96.7
vwap_reclaim,30,0.02,0.03,0.08,0.15,12,3,-5.9,-1.17,0.028,-45.09,243,64.61,124.05,-233.33,243,98.8
vwap_reclaim,30,0.02,0.03,0.08,0.15,14,1,1.88,0.36,0.087,-14.5,214,63.08,62.61,-104.61,214,87.0
vwap_reclaim,30,0.02,0.03,0.08,0.15,14,2,-2.14,-0.42,0.031,-30.06,243,65.43,96.3,-184.84,243,98.8
vwap_reclaim,30,0.02,0.03,0.08,0.15,14,3,6.85,1.29,0.163,-38.16,246,66.26,123.79,-234.85,246,100.0
vwap_reclaim,30,0.02,0.03,0.08,0.15,16,1,1.21,0.23,0.069,-14.54,221,62.44,61.74,-101.19,221,89.8
vwap_reclaim,30,0.02,0.03,0.08,0.15,16,2,-2.24,-0.44,0.029,-29.54,244,65.16,97.49,-185.0,244,99.2
vwap_reclaim,30,0.02,0.03,0.08,0.15,16,3,8.75,1.63,0.183,-37.75,246,66.67,124.95,-239.23,246,100.0
vwap_reclaim,30,0.02,0.03,0.12,0.1,12,1,-0.39,-0.08,0.022,-15.49,203,62.56,63.02,-105.82,203,82.5
vwap_reclaim,30,0.02,0.03,0.12,0.1,12,2,-8.47,-1.7,-0.068,-29.83,238,65.13,94.34,-186.39,238,96.7
vwap_reclaim,30,0.02,0.03,0.12,0.1,12,3,-12.2,-2.48,-0.053,-38.85,243,63.79,125.1,-234.2,243,98.8
vwap_reclaim,30,0.02,0.03,0.12,0.1,14,1,2.67,0.51,0.11,-14.48,214,63.08,62.68,-103.74,214,87.0
