p_max_pos_pct,p_n_tranches,p_dip_entry,p_tranche_gap,p_high_lb,p_profit_tgt,p_stop_loss,p_vix_thresh,p_spy_bull,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,num_trades,win_rate_pct,avg_win_usd,avg_loss_usd
0.5,1,0.05,0.03,5,0.08,0.12,25.0,True,115.39,4.52,0.503,-26.47,105,62.86,450.2,-466.02
0.5,1,0.05,0.03,5,0.08,0.12,25.0,False,109.85,4.36,0.437,-30.22,127,61.42,454.17,-498.77
0.5,1,0.05,0.03,5,0.08,0.12,28.0,True,120.81,4.67,0.57,-15.66,112,63.39,456.32,-495.56
0.5,1,0.05,0.03,5,0.08,0.12,28.0,False,120.65,4.66,0.515,-22.8,142,63.38,469.93,-581.33
0.5,1,0.05,0.03,5,0.08,0.12,32.0,True,134.95,5.04,0.607,-15.15,114,65.79,456.41,-531.67
0.5,1,0.05,0.03,5,0.08,0.12,32.0,False,133.88,5.01,0.495,-28.94,167,62.87,470.27,-580.49
0.5,1,0.05,0.03,5,0.08,0.12,,True,138.35,5.13,0.595,-15.48,116,67.24,456.71,-573.36
0.5,1,0.05,0.03,5,0.08,0.12,,False,297.23,8.27,0.7,-28.31,222,69.82,531.41,-785.76
0.5,1,0.05,0.03,5,0.08,0.15,25.0,True,115.4,4.52,0.504,-25.69,98,64.29,451.13,-482.31
0.5,1,0.05,0.03,5,0.08,0.15,25.0,False,119.9,4.64,0.465,-29.44,118,63.56,452.01,-509.55
0.5,1,0.05,0.03,5,0.08,0.15,28.0,True,121.61,4.69,0.574,-14.83,104,65.38,458.92,-529.04
0.5,1,0.05,0.03,5,0.08,0.15,28.0,False,138.23,5.13,0.567,-19.03,132,66.67,469.23,-624.3
0.5,1,0.05,0.03,5,0.08,0.15,32.0,True,138.1,5.12,0.623,-14.14,102,68.63,459.69,-574.02
0.5,1,0.05,0.03,5,0.08,0.15,32.0,False,152.94,5.49,0.546,-27.42,155,66.45,471.27,-639.37
0.5,1,0.05,0.03,5,0.08,0.15,,True,152.67,5.48,0.652,-15.01,102,71.57,462.17,-636.95
0.5,1,0.05,0.03,5,0.08,0.15,,False,319.79,8.61,0.719,-29.21,195,75.38,528.2,-951.4
0.5,1,0.05,0.03,5,0.08,0.2,25.0,True,115.94,4.53,0.506,-25.46,97,64.95,451.13,-494.92
0.5,1,0.05,0.03,5,0.08,0.2,25.0,False,120.53,4.66,0.468,-29.22,112,66.07,450.48,-560.06
0.5,1,0.05,0.03,5,0.08,0.2,28.0,True,125.64,4.8,0.603,-13.67,103,66.02,456.74,-528.41
0.5,1,0.05,0.03,5,0.08,0.2,28.0,False,144.34,5.28,0.606,-18.63,119,68.91,463.81,-637.82
0.5,1,0.05,0.03,5,0.08,0.2,32.0,True,148.99,5.39,0.671,-13.47,100,70.0,455.78,-566.86
0.5,1,0.05,0.03,5,0.08,0.2,32.0,False,169.4,5.87,0.607,-25.36,137,70.07,467.65,-681.81
0.5,1,0.05,0.03,5,0.08,0.2,,True,165.1,5.77,0.705,-14.64,96,73.96,454.2,-629.54
0.5,1,0.05,0.03,5,0.08,0.2,,False,351.69,9.07,0.782,-27.93,169,81.66,523.86,-1197.52
0.5,1,0.05,0.03,5,0.12,0.12,25.0,True,150.03,5.42,0.62,-20.85,90,55.56,648.06,-435.0
0.5,1,0.05,0.03,5,0.12,0.12,25.0,False,133.48,5.0,0.517,-23.08,107,54.21,637.14,-481.76
0.5,1,0.05,0.03,5,0.12,0.12,28.0,True,177.65,6.06,0.789,-11.94,95,58.95,667.08,-502.36
0.5,1,0.05,0.03,5,0.12,0.12,28.0,False,190.53,6.33,0.763,-17.0,122,59.02,675.67,-591.91
0.5,1,0.05,0.03,5,0.12,0.12,32.0,True,195.94,6.45,0.832,-12.7,98,61.22,664.16,-533.04
0.5,1,0.05,0.03,5,0.12,0.12,32.0,False,215.09,6.83,0.735,-22.23,147,57.82,673.39,-576.28
0.5,1,0.05,0.03,5,0.12,0.12,,True,204.59,6.62,0.815,-15.05,99,62.63,672.38,-573.73
0.5,1,0.05,0.03,5,0.12,0.12,,False,324.58,8.68,0.669,-35.3,185,64.32,711.44,-790.95
0.5,1,0.05,0.03,5,0.12,0.15,25.0,True,147.9,5.37,0.607,-20.85,86,56.98,645.73,-455.42
0.5,1,0.05,0.03,5,0.12,0.15,25.0,False,144.05,5.27,0.537,-23.08,100,57.0,635.19,-507.0
0.5,1,0.05,0.03,5,0.12,0.15,28.0,True,174.46,5.99,0.771,-12.77,92,59.78,665.37,-517.54
0.5,1,0.05,0.03,5,0.12,0.15,28.0,False,189.29,6.31,0.75,-17.18,114,60.53,670.37,-607.25
0.5,1,0.05,0.03,5,0.12,0.15,32.0,True,184.71,6.21,0.772,-13.58,89,62.92,660.06,-560.37
0.5,1,0.05,0.03,5,0.12,0.15,32.0,False,216.27,6.86,0.716,-24.7,131,61.83,664.74,-644.34
0.5,1,0.05,0.03,5,0.12,0.15,,True,206.65,6.67,0.818,-13.68,89,66.29,665.43,-619.84
0.5,1,0.05,0.03,5,0.12,0.15,,False,327.8,8.73,0.661,-36.06,157,69.43,718.05,-947.65
0.5,1,0.05,0.03,5,0.12,0.2,25.0,True,141.07,5.2,0.587,-20.85,82,57.32,641.52,-458.41
0.5,1,0.05,0.03,5,0.12,0.2,25.0,False,135.17,5.05,0.514,-23.08,92,58.7,628.94,-538.04
0.5,1,0.05,0.03,5,0.12,0.2,28.0,True,173.11,5.96,0.789,-12.08,88,60.23,663.32,-509.86
0.5,1,0.05,0.03,5,0.12,0.2,28.0,False,207.13,6.68,0.827,-15.21,103,64.08,667.48,-630.83
