p_max_pos_pct,p_n_tranches,p_dip_entry,p_tranche_gap,p_high_lb,p_profit_tgt,p_stop_loss,p_vix_thresh,p_spy_bull,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,num_trades,win_rate_pct,avg_win_usd,avg_loss_usd
0.5,1,0.05,0.03,5,0.08,0.12,25.0,True,175.88,6.5,0.681,-18.15,153,65.36,479.01,-571.94
0.5,1,0.05,0.03,5,0.08,0.12,25.0,False,169.93,6.36,0.601,-18.61,187,64.71,477.21,-617.42
0.5,1,0.05,0.03,5,0.08,0.12,28.0,True,189.21,6.82,0.707,-14.41,163,66.26,481.34,-601.15
0.5,1,0.05,0.03,5,0.08,0.12,28.0,False,186.45,6.75,0.631,-21.21,213,64.79,493.53,-659.49
0.5,1,0.05,0.03,5,0.08,0.12,32.0,True,171.16,6.39,0.63,-16.57,166,65.06,485.52,-608.96
0.5,1,0.05,0.03,5,0.08,0.12,32.0,False,164.84,6.23,0.529,-22.22,240,63.33,496.92,-670.99
0.5,1,0.05,0.03,5,0.08,0.12,,True,189.8,6.83,0.667,-16.14,169,66.27,487.68,-625.25
0.5,1,0.05,0.03,5,0.08,0.12,,False,263.81,8.35,0.64,-23.24,262,67.56,522.1,-776.83
0.5,1,0.05,0.03,5,0.08,0.15,25.0,True,186.33,6.75,0.708,-17.78,148,67.57,480.23,-612.28
0.5,1,0.05,0.03,5,0.08,0.15,25.0,False,177.9,6.55,0.61,-18.91,175,66.86,478.16,-657.83
0.5,1,0.05,0.03,5,0.08,0.15,28.0,True,194.56,6.94,0.717,-14.39,156,68.59,482.4,-656.36
0.5,1,0.05,0.03,5,0.08,0.15,28.0,False,194.53,6.94,0.648,-24.13,194,67.53,496.14,-722.88
0.5,1,0.05,0.03,5,0.08,0.15,32.0,True,179.39,6.59,0.646,-16.36,157,67.52,490.8,-668.35
0.5,1,0.05,0.03,5,0.08,0.15,32.0,False,186.84,6.76,0.575,-21.94,218,66.51,501.74,-740.67
0.5,1,0.05,0.03,5,0.08,0.15,,True,200.74,7.08,0.687,-15.93,160,68.75,493.63,-684.49
0.5,1,0.05,0.03,5,0.08,0.15,,False,282.07,8.68,0.676,-21.57,236,71.19,529.71,-893.88
0.5,1,0.05,0.03,5,0.08,0.2,25.0,True,189.48,6.82,0.741,-16.34,130,70.0,479.87,-633.86
0.5,1,0.05,0.03,5,0.08,0.2,25.0,False,187.05,6.77,0.661,-17.14,156,69.23,482.94,-696.93
0.5,1,0.05,0.03,5,0.08,0.2,28.0,True,212.59,7.33,0.79,-12.83,132,72.73,483.13,-697.83
0.5,1,0.05,0.03,5,0.08,0.2,28.0,False,235.42,7.8,0.777,-17.82,163,73.01,488.33,-785.67
0.5,1,0.05,0.03,5,0.08,0.2,32.0,True,203.78,7.14,0.749,-14.56,133,72.18,489.32,-718.84
0.5,1,0.05,0.03,5,0.08,0.2,32.0,False,222.08,7.53,0.691,-19.18,181,72.38,491.89,-844.58
0.5,1,0.05,0.03,5,0.08,0.2,,True,224.41,7.58,0.765,-15.85,133,74.44,490.2,-767.31
0.5,1,0.05,0.03,5,0.08,0.2,,False,333.0,9.53,0.78,-17.87,192,78.65,526.76,-1127.84
0.5,1,0.05,0.03,5,0.12,0.12,25.0,True,201.77,7.1,0.712,-20.34,128,59.38,651.57,-564.26
0.5,1,0.05,0.03,5,0.12,0.12,25.0,False,196.63,6.99,0.634,-22.06,156,58.97,636.49,-607.73
0.5,1,0.05,0.03,5,0.12,0.12,28.0,True,198.03,7.02,0.692,-16.0,132,59.09,658.33,-584.2
0.5,1,0.05,0.03,5,0.12,0.12,28.0,False,200.63,7.07,0.64,-22.87,171,57.89,668.56,-640.61
0.5,1,0.05,0.03,5,0.12,0.12,32.0,True,200.32,7.07,0.675,-16.59,134,58.21,681.89,-592.05
0.5,1,0.05,0.03,5,0.12,0.12,32.0,False,217.3,7.43,0.624,-23.63,192,57.29,690.22,-660.91
0.5,1,0.05,0.03,5,0.12,0.12,,True,218.13,7.45,0.706,-16.18,136,59.56,682.56,-608.63
0.5,1,0.05,0.03,5,0.12,0.12,,False,326.61,9.43,0.758,-19.34,210,62.38,712.05,-767.32
0.5,1,0.05,0.03,5,0.12,0.15,25.0,True,213.31,7.35,0.746,-19.78,122,61.48,653.53,-589.02
0.5,1,0.05,0.03,5,0.12,0.15,25.0,False,204.76,7.17,0.652,-21.87,145,61.38,631.5,-637.99
0.5,1,0.05,0.03,5,0.12,0.15,28.0,True,209.43,7.27,0.731,-14.87,124,62.1,660.11,-635.86
0.5,1,0.05,0.03,5,0.12,0.15,28.0,False,220.69,7.5,0.701,-22.19,158,61.39,674.01,-710.01
0.5,1,0.05,0.03,5,0.12,0.15,32.0,True,213.82,7.36,0.717,-15.32,126,61.9,682.6,-663.77
0.5,1,0.05,0.03,5,0.12,0.15,32.0,False,235.77,7.81,0.673,-22.89,179,60.34,700.71,-733.81
0.5,1,0.05,0.03,5,0.12,0.15,,True,233.58,7.77,0.75,-14.95,128,63.28,683.43,-680.84
0.5,1,0.05,0.03,5,0.12,0.15,,False,329.65,9.48,0.778,-18.66,191,66.49,714.38,-902.53
0.5,1,0.05,0.03,5,0.12,0.2,25.0,True,211.06,7.3,0.749,-18.81,109,65.14,643.45,-646.8
0.5,1,0.05,0.03,5,0.12,0.2,25.0,False,208.28,7.24,0.675,-20.69,131,64.89,634.75,-720.12
0.5,1,0.05,0.03,5,0.12,0.2,28.0,True,221.62,7.52,0.762,-14.45,106,66.98,655.98,-697.5
0.5,1,0.05,0.03,5,0.12,0.2,28.0,False,250.82,8.11,0.783,-19.37,135,67.41,659.62,-794.16
0.5,1,0.05,0.03,5,0.12,0.2,32.0,True,226.87,7.63,0.743,-15.2,107,66.36,684.98,-720.74
0.5,1,0.05,0.03,5,0.12,0.2,32.0,False,258.4,8.25,0.73,-22.77,152,65.79,689.17,-828.39
0.5,1,0.05,0.03,5,0.12,0.2,,True,243.33,7.96,0.748,-15.85,106,68.87,681.8,-770.86
0.5,1,0.05,0.03,5,0.12,0.2,,False,362.35,9.98,0.806,-18.29,158,74.05,712.84,-1150.43
0.5,1,0.05,0.03,5,0.15,0.12,25.0,True,236.65,7.83,0.817,-16.64,115,56.52,795.39,-560.7
0.5,1,0.05,0.03,5,0.15,0.12,25.0,False,240.89,7.91,0.749,-18.94,142,56.34,767.72,-602.06
0.5,1,0.05,0.03,5,0.15,0.12,28.0,True,230.72,7.71,0.791,-14.13,118,55.93,811.98,-586.91
